"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.5","82.2","84.9","87.7","89.9","91.6","92.9","94.2","95","95.7","96.4","96.8","97.2","97.5","97.6","97.8","97.9","98","98","98","98.1","",
"American Samoa","ASM","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Australia","AUS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Austria","AUT","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Azerbaijan","AZE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.3","73.6","76.8","80.3","82.9","85.2","87.4","89.4","90.7","92.1","93.1","94","94.7","95.2","95.5","95.9","96.2","96.4","96.6","96.7","96.8","",
"Burundi","BDI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","",
"Belgium","BEL","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Benin","BEN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.600000000000001","0.800000000000001","1","1.3","1.69999999999999","2.09999999999999","2.5","2.9","3.4","3.7","4","4.1","4.3","4.3","4.3","4.3","4.3","4.2","4.2","4","4","",
"Burkina Faso","BFA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","2.9","3.1","3.4","3.7","3.9","4.4","4.6","5.1","5.4","5.80000000000001","6.29999999999999","6.69999999999999","7.1","7.6","8.1","8.7","9","9.5","10.1","10.6","",
"Bangladesh","BGD","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3","8.3","8.4","8.6","8.9","9.2","9.8","10.3","11","11.8","12.7","13.7","14.7","15.8","17.1","18.3","19.3","20.6","21.9","23.4","25","",
"Bulgaria","BGR","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.96","68.7","72.09","75.09","77.62","79.75","81.48","83","84.2","85.22","86.04","86.7","87.27","87.71","88.11","88.42","88.65","","","","","",
"Bahrain","BHR","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bahamas, The","BHS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bosnia and Herzegovina","BIH","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.1","51.45","50.9","50.8","49.3","48.9","47.9","47.1","46.7","45.8","45","44.7","44.2","44.2","44.05","43.9","45.2","43.6","44.7","45","45.2","",
"Belarus","BLR","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.7","95.2","95.8","96.4","96.9","97.1","97.5","97.9","98.15","98.5","98.7","98.8","99","99.1","99.2","99.3","99.4","99.4","99.5","99.5","99.6","",
"Belize","BLZ","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.9","80.6","81.5","81.9","82.6","82.9","83.2","83.3","83.5","83.4","83.6","83.4","83.3","83.3","83","82.9","82.8","82.6","82.4","82.1","82.1","",
"Bermuda","BMU","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.9","63.9","65","65.9","67.3","68.4","69.8","71.5","73.1","74.7","76.2","77.8","79.3","80.4","81.7","82.7","83.5","84.2","85","85.7","86.1","",
"Brazil","BRA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","89.7","90.1","90.6","91.1","91.6","92.1","92.6","93.1","93.6","94","94.3","94.7","95","95.2","95.4","95.7","95.7","95.8","95.8","95.9","",
"Barbados","BRB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Brunei Darussalam","BRN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bhutan","BTN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8","30.9","34.8","38.8","42.7","47.3","51.1","54.65","57.8","61.2","63.9","66.7","68.9","71.2","72.9","75","76","77.4","78.3","79.4","80.2","",
"Botswana","BWA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.4","46.3","47.8","49.5","51.1","52.6","53.7","55.1","56.4","57.6","58.5","59.6","60.2","60.8","61.3","61.7","62.4","63","63.8","63.9","64.7","",
"Central African Republic","CAF","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.600000000000001","0.600000000000001","0.600000000000001","0.600000000000001","0.5","0.5","0.600000000000001","0.600000000000001","0.600000000000001","0.600000000000001","0.5","0.5","0.600000000000001","0.600000000000001","0.600000000000001","0.600000000000001","0.700000000000001","0.700000000000001","0.700000000000001","0.700000000000001","0.800000000000001","",
"Canada","CAN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Central Europe and the Baltics","CEB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.6484370725594","92.2032674444179","92.7133154946294","93.246400227727","93.7357022358221","94.1143341617071","94.4813574767146","94.8589843788996","95.254055098231","95.471328876706","95.7538416907783","96.0254113217729","96.1717913227533","96.3066744854003","96.4385146564686","96.5467370058302","96.6320324688329","97.3585248634099","97.3698541128474","97.5029926003063","97.5128975793949","",
"Switzerland","CHE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Channel Islands","CHI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"China","CHN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42.3","43.1","43.4","44.9","46.3","47.7","49.4","51.1","53.5","55.6","58","60.7","63.2","66","68.4","70.6","73.2","75.6","77.6","79.4","",
"Cote d'Ivoire","CIV","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.6","18.1","17.6","17.1","16.7","16.7","16.6","16.6","16.8","17.2","17.95","18.7","19.4","20.6","21.7","23.1","24.9","26.55","28.4","30.3","31.8","",
"Cameroon","CMR","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.80000000000001","10.7","11.7","12.7","13.7","14.7","15.9","16.8","17.7","18.55","19.4","20","20.8","21.4","21.7","22","22.2","22.2","22.1","22.2","21.9","",
"Congo, Dem. Rep.","COD","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1.2","1.4","1.6","1.9","2.1","2.4","2.7","2.9","3.1","3.2","3.5","3.5","3.7","3.8","3.7","3.7","3.8","3.6","3.75","3.7","",
"Congo, Rep.","COG","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.3","9.6","9.9","10.5","11.1","11.6","12.6","13.4","14.5","15.8","17","18.5","20.05","21.8","23.5","25.4","27.4","29.5","31.05","32.6","34.9","",
"Colombia","COL","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.1","78.9","79.7","80.7","81.5","82.4","83","83.8","84.6","85.4","86.3","87","87.6","88.45","89.1","89.75","90.7","91.2","92","92.5","93.2","",
"Comoros","COM","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.600000000000001","0.700000000000001","0.800000000000001","1","1.2","1.4","1.7","2","2.4","2.8","3.2","3.7","4.2","4.79999999999999","5.29999999999999","5.70000000000001","6.29999999999999","6.80000000000001","7.30000000000001","7.80000000000001","8.40000000000001","",
"Cabo Verde","CPV","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.8","62.9","63.2","63.3","63.9","64.5","65.2","66.3","67.5","68.4","69.7","70.8","72","73.2","74.4","75.5","76.5","77.8","78.9","80.2","81","",
"Costa Rica","CRI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","89.4","89.8","90.1","90.4","90.7","91.2","91.3","91.8","92.1","92.4","92.9","93.1","93.6","94","94.3","94.6","94.9","95.3","95.6","95.7","",
"Caribbean small states","CSS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.624008004316","80.8227534521901","81.9032321438142","82.9284021560128","83.910477759768","84.9417254651987","85.6455315476062","86.3826595759003","87.0126809263534","87.5663023579998","87.965110688891","88.4520885906419","88.7464421418311","89.0225071192275","89.2480225116447","89.3014269757527","89.3917901789491","89.3728676153349","89.3320550041997","89.3145782771315","89.1771273254432","",
"Cuba","CUB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.4","74.5","77.2","79.8","81.8","83.8","85.4","87","88.1","89.1","90.2","91","91.5","92","92.7","92.65","93.2","93.4","93.5","93.6","93.8","",
"Curacao","CUW","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Czech Republic","CZE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Germany","DEU","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Djibouti","DJI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4.1","4.2","4.3","4.49999999999999","4.8","4.99999999999999","5.29999999999999","5.70000000000001","6.09999999999999","6.49999999999999","6.80000000000001","7.20000000000001","7.8","8.1","8.40000000000001","8.75","9","9.3","9.5","9.65","",
"Dominica","DMA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","82","82.8","83.6","84","85","85.5","86.3","87","87.4","87.8","88.3","88.4","88.7","88.9","89.3","89.3","89.3","89.1","89.3","88.9","",
"Denmark","DNK","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Dominican Republic","DOM","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.1","84.7","85.5","86.05","86.4","86.7","87","87.1","87.3","87.4","87.6","87.8","87.9","88.2","88.5","89","89.5","90","90.4","90.9","91.5","",
"Algeria","DZA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.1","97.3","97.8","98","98.2","98.5","98.7","98.8","99","99.1","99.2","99.3","99.4","99.4","99.5","99.5","99.6","99.6","99.6","99.7","99.7","",
"East Asia & Pacific (excluding high income)","EAP","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.5762329689116","36.123821914777","37.0588083909268","37.671167127637","39.1999225401043","40.7235713300741","42.4066853215056","44.3331233939277","46.4373041048608","49.0536413362947","51.4843649108683","54.0619950737527","56.7896269581929","59.3188239165282","62.061035130285","64.3826612308048","66.6114688340449","69.0518911781721","71.3447074957915","73.3083737097423","75.0829977564141","",
"Early-demographic dividend","EAR","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.2766894008774","35.1520591795089","36.1756379505208","37.1180914452215","38.2127990766215","39.3179379111103","40.3679356684085","41.4893779720085","42.9125708046155","44.584246608297","46.0612799377548","47.6302197883795","49.4104444601457","50.9810793625149","53.0956340108104","55.1612152342631","57.1648598110418","59.64509957634","61.9331549725149","64.2466162069842","66.4652864030743","",
"East Asia & Pacific","EAS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.0016282987301","42.4716662967518","43.2898698429662","43.8167110387374","45.1666031863438","46.5126643581082","48.0129132809698","49.7336640718851","51.6255380364427","53.9752013552565","56.1562220109941","58.4667328319663","60.9118452874391","63.1796610724835","65.6451879674498","67.7332808977297","69.7403925008497","71.9390566467902","74.008402328308","75.7822276084073","77.3833824908909","",
"Europe & Central Asia (excluding high income)","ECA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.9255927528879","89.5087652588944","89.9717861847704","90.4456770582683","90.8648818370358","91.2394339135645","91.4963732429205","91.7497549480481","91.8911606273504","91.9806739808386","92.0105385209992","91.9064192693551","91.8458212253271","91.6861886608297","91.5192292497247","91.2215968641766","90.9691326977235","90.7503092543403","90.4068223926606","89.9675168016434","89.4524770971256","",
"Europe & Central Asia","ECS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.5429751110552","94.8340576954521","95.0725808722023","95.3232165874594","95.5481069690643","95.7428531443509","95.8880131478157","96.0339422864475","96.1341228592534","96.1883097230378","96.2239487992325","96.1950551094449","96.1763007292098","96.1152561287367","96.0509517297904","95.9272823723927","95.8207136762281","95.7730783434186","95.6216276865599","95.4397419604754","95.2142342501081","",
"Ecuador","ECU","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.8","88.75","89.8","90.6","91.1","91.7","92.3","92.7","93.05","93.3","93.6","93.9","94","94.1","94.3","94.4","94.4","94.4","94.5","94.45","94.3","",
"Egypt, Arab Rep.","EGY","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.5","86.7","89.4","92","93.85","95.5","96.7","97.6","98.2","98.8","99.1","99.4","99.55","99.7","99.8","99.8","99.8","99.9","99.9","99.9","99.9","",
"Euro area","EMU","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Eritrea","ERI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.9","4.4","4.9","5.4","5.79999999999999","6.40000000000001","6.80000000000001","7.4","7.70000000000001","8","8.3","8.6","8.9","8.9","9.00000000000001","9.00000000000001","9.2","9.10000000000001","9.2","9.3","",
"Spain","ESP","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Estonia","EST","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Ethiopia","ETH","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.900000000000001","0.900000000000001","0.99999999999999","1","1.09999999999999","1.1","1.3","1.4","1.6","1.9","2.1","2.5","2.9","3.2","3.7","4.3","4.9","5.45","6.19999999999999","7","7.8","",
"European Union","EUU","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.8904066021482","98.047441071906","98.1911937463697","98.3347122603938","98.4653645831053","98.5671416034736","98.6642491468354","98.7644405085824","98.8671071217111","98.9235932780133","98.9957928800312","99.0605745193191","99.0985732923953","99.1342938275138","99.1690272609127","99.1978818108303","99.2213446951726","99.4245309944233","99.4289159344436","99.4587475334323","99.4623313418734","",
"Fragile and conflict affected situations","FCS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2212625106778","21.3303287051536","21.4010918293236","21.5517899150893","21.708247647088","21.8686981106802","22.1936172472052","22.4689532093197","22.6892294850678","23.0162215570564","23.2839273963508","23.6176141681701","23.9422293205206","24.2527867843073","24.6139782424731","25.0217782310801","25.4845199857602","25.9926556309752","26.5429713047083","27.2268041133418","27.8844163557803","",
"Finland","FIN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Fiji","FJI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.2","28.15","28.2","28.3","28.5","28.7","29.2","29.6","30.2","31","31.9","33.2","34.5","36.6","38.1","40.3","42.4","44.6","46.7","49.4","51.4","",
"France","FRA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
